name,full_name,position,weight,birth_date,birth_place,retired,teams,player_id,season,total_games,games_started,minutes_played,fg,fga,fgp,fg2,fg2a,fg2p,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pf,pts,height_inches
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1970-71,82.0,,3288.0,11.6,20.2,0.577,11.6,20.2,0.577,5.1,7.5,0.69,,,14.4,3.0,,,,2.9,28.4,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1969-70,82.0,,3534.0,9.6,18.4,0.518,9.6,18.4,0.518,4.9,7.6,0.653,,,12.1,3.4,,,,2.9,24.1,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1977-78,62.0,,2265.0,10.5,19.2,0.55,10.5,19.2,0.55,4.4,5.6,0.783,3.0,9.8,12.7,4.3,1.6,2.9,3.3,2.9,25.4,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1978-79,80.0,,3157.0,8.9,15.4,0.577,8.9,15.4,0.577,4.0,5.4,0.736,2.4,9.3,11.7,4.9,0.9,3.6,3.2,2.6,21.7,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1971-72,81.0,,3583.0,11.6,20.3,0.574,11.6,20.3,0.574,5.1,7.4,0.689,,,13.5,3.7,,,,2.4,28.4,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1976-77,82.0,,3016.0,10.6,18.3,0.579,10.6,18.3,0.579,4.5,6.4,0.701,3.2,9.8,13.0,3.8,1.2,3.1,,3.1,25.7,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1972-73,76.0,,3254.0,10.9,19.6,0.554,10.9,19.6,0.554,3.6,5.1,0.713,,,13.5,4.2,,,,2.3,25.4,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1975-76,82.0,,3379.0,9.7,18.4,0.529,9.7,18.4,0.529,4.8,6.8,0.703,2.9,11.8,14.7,4.4,1.3,3.6,,3.1,24.2,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1973-74,81.0,,3548.0,9.6,17.8,0.539,9.6,17.8,0.539,3.0,4.3,0.702,2.9,9.0,12.0,3.9,1.1,2.9,,2.4,22.2,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1974-75,65.0,,2747.0,10.6,20.8,0.513,10.6,20.8,0.513,4.3,5.6,0.763,2.5,9.4,12.0,3.5,0.9,2.8,,2.7,25.5,86
Tom Abernethy,Thomas Craig Abernethy,F,220.0,1954-05-06,"South Bend, Indiana",True,"[10, 14, 12]",7,1976-77,70.0,,1378.0,4.4,9.1,0.484,4.4,9.1,0.484,2.6,3.5,0.754,3.0,4.7,7.6,2.6,1.3,0.3,,3.1,11.5,79
Tom Abernethy,Thomas Craig Abernethy,F,220.0,1954-05-06,"South Bend, Indiana",True,"[10, 14, 12]",7,1977-78,73.0,,1317.0,5.5,11.0,0.498,5.5,11.0,0.498,2.5,3.0,0.82,2.9,4.4,7.2,2.8,1.5,0.6,1.4,3.3,13.5,79
Tom Abernethy,Thomas Craig Abernethy,F,220.0,1954-05-06,"South Bend, Indiana",True,"[10, 14, 12]",7,1978-79,70.0,,1219.0,5.2,10.1,0.515,5.2,10.1,0.515,2.1,2.8,0.745,2.2,4.2,6.4,2.3,1.2,0.4,0.9,3.9,12.5,79
Forest Able,Forest Edward Able,G,180.0,1932-07-27,,True,[],8,1956-57,1.0,,1.0,0.0,72.0,0.0,,,,0.0,0.0,,,,36.0,36.0,,,,36.0,0.0,75
Don Ackerman,Donald D. Ackerman,G,183.0,1930-09-04,"New York, New York",True,[],12,1953-54,28.0,,220.0,2.3,10.3,0.222,,,,2.5,4.6,0.536,,,2.5,3.8,,,,7.0,7.0,72
Bud Acton,Charles R. Acton,F,210.0,1942-01-11,,True,[],14,1967-68,23.0,,195.0,5.4,13.7,0.392,,,,3.5,5.4,0.655,,,8.7,2.0,,,,6.5,14.2,78
Alvan Adams,Alvan Leigh Adams,C-F,210.0,1954-07-19,"Lawrence, Kansas",True,[],16,1975-76,80.0,,2656.0,8.5,18.2,0.469,8.5,18.2,0.469,3.5,4.8,0.735,2.9,6.9,9.9,6.1,1.6,1.6,,3.7,20.6,81
Alvan Adams,Alvan Leigh Adams,C-F,210.0,1954-07-19,"Lawrence, Kansas",True,[],16,1976-77,72.0,,2278.0,8.2,17.4,0.474,8.2,17.4,0.474,4.0,5.3,0.754,2.8,7.5,10.3,5.1,1.5,1.4,,4.1,20.5,81
Alvan Adams,Alvan Leigh Adams,C-F,210.0,1954-07-19,"Lawrence, Kansas",True,[],16,1977-78,70.0,,1914.0,8.2,16.8,0.485,8.2,16.8,0.485,4.0,5.5,0.73,3.0,7.7,10.6,4.2,1.6,1.2,4.4,4.6,20.4,81
Alvan Adams,Alvan Leigh Adams,C-F,210.0,1954-07-19,"Lawrence, Kansas",True,[],16,1978-79,77.0,,2364.0,8.7,16.3,0.53,8.7,16.3,0.53,3.5,4.4,0.799,3.4,7.4,10.7,5.5,1.7,1.0,4.2,3.7,20.8,81
Don Adams,Donald L. Adams,F,210.0,1947-11-27,"Atlanta, Georgia",True,"[9, 1]",17,1976-77,77.0,,1710.0,4.5,11.1,0.411,4.5,11.1,0.411,2.7,3.6,0.746,2.7,5.1,7.8,3.2,1.6,0.3,,4.2,11.8,78
Don Adams,Donald L. Adams,F,210.0,1947-11-27,"Atlanta, Georgia",True,"[9, 1]",17,1971-72,73.0,,2071.0,5.4,13.9,0.392,5.4,13.9,0.392,3.6,4.8,0.745,,,8.7,2.4,,,,4.6,14.4,78
Don Adams,Donald L. Adams,F,210.0,1947-11-27,"Atlanta, Georgia",True,"[9, 1]",17,1975-76,56.0,,704.0,3.4,8.7,0.394,3.4,8.7,0.394,2.0,2.9,0.702,1.9,5.5,7.4,3.7,1.5,0.4,,6.5,8.9,78
Don Adams,Donald L. Adams,F,210.0,1947-11-27,"Atlanta, Georgia",True,"[9, 1]",17,1974-75,51.0,,1376.0,3.3,8.2,0.403,3.3,8.2,0.403,1.2,2.0,0.577,1.6,4.7,6.4,2.0,1.8,0.5,,4.7,7.8,78
Don Adams,Donald L. Adams,F,210.0,1947-11-27,"Atlanta, Georgia",True,"[9, 1]",17,1973-74,74.0,,2298.0,4.7,11.6,0.408,4.7,11.6,0.408,2.4,3.1,0.761,2.1,4.9,7.0,2.2,1.7,0.2,,3.8,11.9,78
Don Adams,Donald L. Adams,F,210.0,1947-11-27,"Atlanta, Georgia",True,"[9, 1]",17,1970-71,82.0,,2374.0,5.9,14.5,0.409,5.9,14.5,0.409,2.4,3.2,0.731,,,8.8,2.6,,,,5.2,14.2,78
Don Adams,Donald L. Adams,F,210.0,1947-11-27,"Atlanta, Georgia",True,"[9, 1]",17,1972-73,74.0,,1874.0,5.1,13.0,0.391,5.1,13.0,0.391,2.8,3.5,0.788,,,8.5,2.2,,,,4.4,13.0,78
Rick Adelman,Richard Leonard Adelman,G,175.0,1946-06-16,"Lynwood, California",True,"[25, 5]",27,1972-73,76.0,,1822.0,4.2,10.4,0.408,,,,1.4,2.0,0.716,,,3.1,5.8,,,,3.1,9.9,73
Rick Adelman,Richard Leonard Adelman,G,175.0,1946-06-16,"Lynwood, California",True,"[25, 5]",27,1968-69,77.0,,1448.0,4.4,11.2,0.394,,,,3.3,5.1,0.642,,,5.4,5.9,,,,3.9,12.1,73
Rick Adelman,Richard Leonard Adelman,G,175.0,1946-06-16,"Lynwood, California",True,"[25, 5]",27,1969-70,35.0,,717.0,4.8,12.4,0.389,,,,3.4,4.6,0.747,,,4.1,5.7,,,,4.5,13.1,73
Rick Adelman,Richard Leonard Adelman,G,175.0,1946-06-16,"Lynwood, California",True,"[25, 5]",27,1970-71,81.0,,2303.0,5.9,14.0,0.422,,,,4.2,5.8,0.724,,,4.4,5.9,,,,3.3,16.0,73
Rick Adelman,Richard Leonard Adelman,G,175.0,1946-06-16,"Lynwood, California",True,"[25, 5]",27,1971-72,80.0,,2445.0,4.8,11.1,0.437,,,,2.2,3.0,0.751,,,3.4,6.1,,,,3.1,11.9,73
Rick Adelman,Richard Leonard Adelman,G,175.0,1946-06-16,"Lynwood, California",True,"[25, 5]",27,1974-75,58.0,,1074.0,4.1,9.8,0.423,,,,2.4,3.5,0.709,0.8,2.3,3.2,3.8,2.3,0.3,,3.4,10.7,73
Rick Adelman,Richard Leonard Adelman,G,175.0,1946-06-16,"Lynwood, California",True,"[25, 5]",27,1973-74,55.0,,618.0,3.7,9.9,0.376,,,,3.1,4.4,0.711,0.9,3.1,4.0,3.3,2.1,0.1,,3.7,10.6,73
Henry Akin,Henry T. Akin,C-F,225.0,1944-07-31,"Detroit, Michigan",True,[20],36,1967-68,36.0,,259.0,6.4,19.0,0.336,6.4,19.0,0.336,2.8,4.3,0.645,,,7.9,1.9,,,,6.7,15.6,82
Henry Akin,Henry T. Akin,C-F,225.0,1944-07-31,"Detroit, Michigan",True,[20],36,1966-67,50.0,,453.0,6.6,18.3,0.361,6.6,18.3,0.361,2.1,2.9,0.703,,,9.5,2.0,,,,6.5,15.3,82
Gary Alcorn,Gary R. Alcorn,C,225.0,1936-10-08,,True,"[9, 14]",41,1960-61,20.0,,174.0,2.5,8.3,0.3,,,,1.4,1.7,0.875,,,10.3,0.4,,,,9.7,6.4,81
Gary Alcorn,Gary R. Alcorn,C,225.0,1936-10-08,,True,"[9, 14]",41,1959-60,58.0,,670.0,4.9,16.8,0.292,,,,2.6,4.5,0.571,,,15.0,1.2,,,,6.6,12.4,81
Bob Allen,Robert J. Allen,F,205.0,1946-07-17,,True,[],56,1968-69,27.0,,232.0,2.2,6.7,0.326,,,,3.1,5.6,0.556,,,8.7,1.6,,,,4.2,7.4,81
Lucius Allen,Lucius Oliver Allen Jr.,G,175.0,1947-09-26,"Kansas City, Kansas",True,"[17, 14]",62,1977-78,77.0,,2147.0,6.3,14.2,0.441,,,,2.9,3.7,0.791,1.1,2.7,3.8,6.0,1.6,0.5,3.6,3.0,15.4,74
Lucius Allen,Lucius Oliver Allen Jr.,G,175.0,1947-09-26,"Kansas City, Kansas",True,"[17, 14]",62,1969-70,81.0,,1817.0,6.1,13.7,0.442,,,,3.6,4.9,0.731,,,4.2,6.8,,,,4.0,15.7,74
Lucius Allen,Lucius Oliver Allen Jr.,G,175.0,1947-09-26,"Kansas City, Kansas",True,"[17, 14]",62,1970-71,61.0,,1162.0,5.5,12.3,0.447,,,,2.4,3.4,0.7,,,4.7,5.0,,,,3.3,13.4,74
Lucius Allen,Lucius Oliver Allen Jr.,G,175.0,1947-09-26,"Kansas City, Kansas",True,"[17, 14]",62,1976-77,78.0,,2482.0,6.8,15.0,0.456,,,,2.8,3.7,0.774,0.8,2.8,3.6,5.9,1.7,0.3,,2.7,16.5,74
Lucius Allen,Lucius Oliver Allen Jr.,G,175.0,1947-09-26,"Kansas City, Kansas",True,"[17, 14]",62,1978-79,31.0,,413.0,6.0,15.2,0.397,,,,1.7,2.9,0.576,1.2,2.8,4.0,3.8,1.8,0.5,2.6,4.5,13.7,74
Lucius Allen,Lucius Oliver Allen Jr.,G,175.0,1947-09-26,"Kansas City, Kansas",True,"[17, 14]",62,1975-76,76.0,,2388.0,6.9,15.1,0.459,,,,3.0,3.8,0.776,1.0,2.3,3.2,5.4,1.5,0.3,,3.6,16.9,74
Lucius Allen,Lucius Oliver Allen Jr.,G,175.0,1947-09-26,"Kansas City, Kansas",True,"[17, 14]",62,1971-72,80.0,,2316.0,6.9,13.6,0.505,,,,3.1,4.0,0.764,,,3.9,5.2,,,,3.3,16.8,74
Lucius Allen,Lucius Oliver Allen Jr.,G,175.0,1947-09-26,"Kansas City, Kansas",True,"[17, 14]",62,1973-74,72.0,,2388.0,7.9,16.0,0.495,,,,3.3,4.1,0.788,1.3,3.0,4.4,5.6,2.1,0.3,,3.2,19.1,74
Lucius Allen,Lucius Oliver Allen Jr.,G,175.0,1947-09-26,"Kansas City, Kansas",True,"[17, 14]",62,1972-73,80.0,,2693.0,7.3,15.1,0.484,,,,1.9,2.7,0.715,,,3.7,5.7,,,,2.5,16.5,74
Lucius Allen,Lucius Oliver Allen Jr.,G,175.0,1947-09-26,"Kansas City, Kansas",True,"[17, 14]",62,1974-75,66.0,,2353.0,7.8,17.9,0.437,,,,3.6,4.7,0.778,1.4,2.9,4.3,5.7,2.1,0.4,,3.3,19.3,74
Odis Allison,Odis Allison Jr.,F,195.0,1949-10-02,,True,[],68,1971-72,36.0,,166.0,3.7,16.9,0.218,,,,7.2,13.2,0.541,,,9.8,2.2,,,,7.4,14.5,78
Bob Anderegg,Robert H. Anderegg,F-G,200.0,1937-08-24,"Monroe, Wisconsin",True,[],79,1959-60,33.0,,373.0,5.3,13.8,0.385,,,,2.2,4.1,0.548,,,6.7,2.8,,,,3.1,12.8,75
Cliff Anderson,Clifford V. Anderson,G-F,200.0,1944-09-07,,True,"[14, 6, 23]",85,1970-71,28.0,,198.0,3.6,11.8,0.308,3.6,11.8,0.308,8.4,12.2,0.687,,,8.7,3.6,,,,5.3,15.6,74
Cliff Anderson,Clifford V. Anderson,G-F,200.0,1944-09-07,,True,"[14, 6, 23]",85,1968-69,35.0,,289.0,5.5,13.5,0.407,5.5,13.5,0.407,5.9,10.2,0.573,,,5.5,3.9,,,,7.2,16.8,74
Cliff Anderson,Clifford V. Anderson,G-F,200.0,1944-09-07,,True,"[14, 6, 23]",85,1967-68,18.0,,94.0,2.7,11.1,0.241,2.7,11.1,0.241,4.6,10.7,0.429,,,4.2,6.5,,,,6.9,10.0,74
Dan Anderson,Daniel Edward Anderson,G,185.0,1951-01-01,,True,[],87,1974-75,43.0,,453.0,3.7,8.3,0.448,,,,2.1,2.4,0.867,0.6,1.7,2.3,6.4,1.3,0.1,,3.5,9.5,74
Dan Anderson,Daniel Edward Anderson,G,185.0,1951-01-01,,True,[],87,1975-76,52.0,,614.0,5.2,10.6,0.486,,,,3.0,3.6,0.836,0.9,2.8,3.6,5.0,1.2,0.1,,3.4,13.3,74
Jerome Anderson,Jerome Anderson,G,195.0,1953-10-09,"Mullens, West Virginia",True,"[12, 2]",94,1975-76,22.0,,126.0,7.1,12.9,0.556,,,,3.1,4.6,0.688,1.1,2.6,3.7,1.7,0.9,0.9,,7.1,17.4,77
Jerome Anderson,Jerome Anderson,G,195.0,1953-10-09,"Mullens, West Virginia",True,"[12, 2]",94,1976-77,27.0,,164.0,5.7,13.0,0.441,,,,3.1,4.4,0.7,2.0,0.7,2.6,2.2,1.3,0.4,,5.7,14.5,77
Kim Anderson,Keith Kim Anderson,F,200.0,1955-05-12,"Sedalia, Missouri",True,[],97,1978-79,21.0,,224.0,3.9,12.4,0.312,,,,2.4,4.5,0.536,2.7,4.5,7.2,2.4,0.6,0.8,3.5,6.8,10.1,79
Wally Anderzunas,Walter Charles Anderzunas,C-F,220.0,1946-01-11,,True,[],106,1969-70,44.0,,370.0,6.3,16.2,0.392,,,,2.8,4.5,0.63,,,8.0,0.9,,,,4.6,15.5,79
Don Anielak,Donald Robert Anielak,F,190.0,1930-11-01,"St. Louis, Missouri",True,[],108,1954-55,1.0,,10.0,0.0,14.4,0.0,,,,10.8,14.4,0.75,,,7.2,0.0,,,,0.0,10.8,79
Stacey Arceneaux,Stacey Arceneaux,F,210.0,1936-02-17,,True,[],122,1961-62,7.0,,110.0,7.2,18.3,0.393,,,,2.0,4.3,0.462,,,10.5,1.3,,,,3.3,16.4,76
Tiny Archibald,Nathaniel Archibald,G,150.0,1948-09-02,"New York, New York",True,"[2, 17]",124,1975-76,78.0,,3184.0,8.1,17.9,0.453,8.1,17.9,0.453,5.7,7.1,0.802,0.8,1.7,2.4,7.0,1.4,0.2,,1.9,21.9,73
Tiny Archibald,Nathaniel Archibald,G,150.0,1948-09-02,"New York, New York",True,"[2, 17]",124,1974-75,82.0,,3244.0,8.4,18.5,0.456,8.4,18.5,0.456,7.2,8.3,0.872,0.5,1.9,2.5,6.2,1.3,0.1,,2.1,24.1,73
Tiny Archibald,Nathaniel Archibald,G,150.0,1948-09-02,"New York, New York",True,"[2, 17]",124,1971-72,76.0,,3272.0,8.1,16.6,0.486,8.1,16.6,0.486,7.4,9.1,0.822,,,2.4,7.7,,,,2.2,23.6,73
Tiny Archibald,Nathaniel Archibald,G,150.0,1948-09-02,"New York, New York",True,"[2, 17]",124,1970-71,82.0,,2867.0,6.1,13.7,0.444,6.1,13.7,0.444,4.2,5.6,0.757,,,3.0,5.7,,,,2.7,16.4,73
Tiny Archibald,Nathaniel Archibald,G,150.0,1948-09-02,"New York, New York",True,"[2, 17]",124,1973-74,35.0,,1272.0,6.3,13.9,0.451,6.3,13.9,0.451,4.9,6.0,0.82,0.6,1.8,2.4,7.5,1.6,0.2,,2.2,17.5,73
Tiny Archibald,Nathaniel Archibald,G,150.0,1948-09-02,"New York, New York",True,"[2, 17]",124,1976-77,34.0,,1277.0,7.0,15.8,0.446,7.0,15.8,0.446,5.6,7.1,0.785,0.6,1.6,2.3,7.2,1.7,0.3,,2.2,19.6,73
Tiny Archibald,Nathaniel Archibald,G,150.0,1948-09-02,"New York, New York",True,"[2, 17]",124,1972-73,80.0,,3681.0,10.1,20.6,0.488,10.1,20.6,0.488,6.5,7.7,0.847,,,2.2,8.9,,,,2.0,26.6,73
Tiny Archibald,Nathaniel Archibald,G,150.0,1948-09-02,"New York, New York",True,"[2, 17]",124,1978-79,69.0,,1662.0,5.6,12.4,0.452,5.6,12.4,0.452,5.2,6.6,0.788,0.5,1.7,2.2,7.0,1.2,0.1,4.3,2.9,16.5,73
Jim Ard,Jimmie Lee Ard,F-C,215.0,1948-09-19,"Harvey, Illinois",True,"[2, 5]",126,1974-75,59.0,,719.0,4.5,13.3,0.335,4.5,13.3,0.335,2.4,3.3,0.738,3.0,7.0,10.0,2.0,0.7,1.6,,4.8,11.3,80
Jim Ard,Jimmie Lee Ard,F-C,215.0,1948-09-19,"Harvey, Illinois",True,"[2, 5]",126,1977-78,15.0,,125.0,2.3,4.9,0.471,2.3,4.9,0.471,0.9,1.4,0.6,2.6,7.8,10.4,2.3,0.0,0.0,4.0,5.5,5.5,80
Jim Ard,Jimmie Lee Ard,F-C,215.0,1948-09-19,"Harvey, Illinois",True,"[2, 5]",126,1976-77,63.0,,969.0,3.6,9.4,0.378,3.6,9.4,0.378,1.8,2.8,0.645,2.9,8.1,11.0,2.0,0.7,1.0,,4.8,9.0,80
Jim Ard,Jimmie Lee Ard,F-C,215.0,1948-09-19,"Harvey, Illinois",True,"[2, 5]",126,1975-76,81.0,,853.0,4.5,12.4,0.364,4.5,12.4,0.364,3.0,4.2,0.71,4.1,8.1,12.2,2.0,0.5,1.5,,6.0,12.0,80
Paul Arizin,Paul Joseph Arizin,F-G,190.0,1928-04-09,"Philadelphia, Pennsylvania",True,[],129,1959-60,72.0,,2618.0,8.2,19.3,0.424,,,,5.8,7.2,0.798,,,8.5,2.3,,,,3.6,22.1,76
Paul Arizin,Paul Joseph Arizin,F-G,190.0,1928-04-09,"Philadelphia, Pennsylvania",True,[],129,1955-56,72.0,,2724.0,8.2,18.2,0.448,,,,6.7,8.3,0.81,,,7.1,2.5,,,,3.7,23.0,76
Paul Arizin,Paul Joseph Arizin,F-G,190.0,1928-04-09,"Philadelphia, Pennsylvania",True,[],129,1956-57,71.0,,2767.0,8.0,18.9,0.422,,,,7.7,9.3,0.829,,,7.3,2.0,,,,3.6,23.6,76
Paul Arizin,Paul Joseph Arizin,F-G,190.0,1928-04-09,"Philadelphia, Pennsylvania",True,[],129,1960-61,79.0,,2935.0,8.0,18.8,0.425,,,,6.5,7.8,0.833,,,8.4,2.3,,,,4.1,22.5,76
Paul Arizin,Paul Joseph Arizin,F-G,190.0,1928-04-09,"Philadelphia, Pennsylvania",True,[],129,1951-52,66.0,,2939.0,6.7,15.0,0.448,,,,7.1,8.7,0.818,,,9.1,2.1,,,,3.1,20.5,76
Paul Arizin,Paul Joseph Arizin,F-G,190.0,1928-04-09,"Philadelphia, Pennsylvania",True,[],129,1961-62,78.0,,2785.0,7.9,19.3,0.41,,,,6.3,7.8,0.805,,,6.8,2.6,,,,4.0,22.1,76
Paul Arizin,Paul Joseph Arizin,F-G,190.0,1928-04-09,"Philadelphia, Pennsylvania",True,[],129,1958-59,70.0,,2799.0,8.1,18.9,0.431,,,,7.5,9.3,0.813,,,8.2,1.5,,,,3.4,23.8,76
Paul Arizin,Paul Joseph Arizin,F-G,190.0,1928-04-09,"Philadelphia, Pennsylvania",True,[],129,1957-58,68.0,,2377.0,7.3,18.6,0.393,,,,6.7,8.2,0.809,,,7.6,2.0,,,,3.6,21.3,76
Paul Arizin,Paul Joseph Arizin,F-G,190.0,1928-04-09,"Philadelphia, Pennsylvania",True,[],129,1954-55,72.0,,2953.0,6.4,16.2,0.399,,,,5.5,7.1,0.776,,,8.2,2.6,,,,3.3,18.4,76
Bob Armstrong,Theodore Robert Armstrong,C-F,220.0,1933-06-17,"Detroit, Michigan",True,[],132,1956-57,19.0,,110.0,3.6,12.1,0.297,,,,2.0,3.9,0.5,,,12.8,1.0,,,,4.3,9.2,80
Tate Armstrong,Michel Taylor Armstrong,G,175.0,1955-10-05,"Moultrie, Georgia",True,[],137,1977-78,66.0,,716.0,6.6,14.1,0.468,,,,1.1,1.4,0.815,1.2,2.2,3.4,3.7,1.2,0.0,2.9,2.1,14.3,75
Tate Armstrong,Michel Taylor Armstrong,G,175.0,1955-10-05,"Moultrie, Georgia",True,[],137,1978-79,26.0,,259.0,3.9,9.7,0.4,,,,1.4,1.8,0.769,1.0,1.8,2.8,4.3,1.4,0.0,2.9,3.1,9.2,75
Jesse Arnelle,Hugh Jesse Arnelle,F,220.0,1933-12-30,"New Rochelle, New York",True,[],138,1955-56,31.0,,409.0,4.6,14.4,0.317,,,,3.8,6.1,0.623,,,15.0,1.6,,,,5.3,12.9,77
Jay Arnette,Jay Hoyland Arnette,G,175.0,1938-12-19,"Austin, Texas",True,[],139,1963-64,48.0,,501.0,5.1,14.1,0.362,,,,3.0,3.9,0.778,,,3.9,5.1,,,,7.5,13.2,74
Jay Arnette,Jay Hoyland Arnette,G,175.0,1938-12-19,"Austin, Texas",True,[],139,1964-65,63.0,,662.0,4.9,13.3,0.371,,,,3.0,4.1,0.747,,,3.4,3.7,,,,6.8,12.9,74
Jay Arnette,Jay Hoyland Arnette,G,175.0,1938-12-19,"Austin, Texas",True,[],139,1965-66,3.0,,14.0,2.6,15.4,0.167,,,,0.0,0.0,,,,0.0,0.0,,,,7.7,5.1,74
Bob Arnzen,Robert Louis Arnzen,F,205.0,1947-11-03,"Covington, Kentucky",True,[],140,1970-71,55.0,,594.0,7.8,16.8,0.462,7.8,16.8,0.462,2.7,3.2,0.865,,,9.2,1.5,,,,3.3,18.2,77
John Arthurs,John Charles Arthurs,G,185.0,1947-08-15,,True,[],143,1969-70,11.0,,86.0,5.0,14.7,0.343,,,,4.6,6.3,0.733,,,5.9,7.1,,,,6.3,14.7,76
Don Asmonga,Donald A. Asmonga,G,185.0,1928-02-15,"West Mifflin, Pennsylvania",True,[],148,1953-54,7.0,,46.0,1.6,11.7,0.133,,,,0.8,0.8,1.0,,,0.8,3.9,,,,9.4,3.9,74
Dick Atha,Richard E. Atha,G,190.0,1931-09-21,"Otterbein, Indiana",True,"[20, 9]",149,1957-58,18.0,,160.0,3.8,10.6,0.362,,,,2.3,2.7,0.833,,,5.4,4.3,,,,5.4,9.9,74
Dick Atha,Richard E. Atha,G,190.0,1931-09-21,"Otterbein, Indiana",True,"[20, 9]",149,1955-56,25.0,,288.0,4.5,11.0,0.409,,,,2.6,3.4,0.778,,,5.2,4.0,,,,4.9,11.6,74
Al Attles,Alvin Austin Attles Jr.,G,175.0,1936-11-07,"Newark, New Jersey",True,[],151,1966-67,69.0,,1764.0,4.3,9.5,0.454,,,,1.8,3.1,0.583,,,6.6,5.5,,,,5.4,10.4,72
Al Attles,Alvin Austin Attles Jr.,G,175.0,1936-11-07,"Newark, New Jersey",True,[],151,1965-66,79.0,,2053.0,6.4,12.7,0.503,,,,2.7,4.4,0.611,,,5.6,3.9,,,,4.6,15.5,72
